,13C,15N,pixel,12C13C,12C,12C15N,12C14N,C_all_ions,N_all_ions
123,0.03439888,0.0103167,64,4362,15724,3024,24231,20086,27255
124,0.03190508,0.008968122,78,4283,16646,2355,21708,20929,24063
125,0.0338833,0.009666974,64,4163,15235,2410,20609,19398,23019
126,0.03336395,0.009016559,61,3539,13153,1919,17594,16692,19513
127,0.03269471,0.01057576,104,4688,17780,3250,25404,22468,28654
128,0.0315213,0.009096673,68,3628,14272,2261,20547,17900,22808
129,0.03251195,0.008872018,162,9612,36660,5581,52002,46272,57583
130,0.03409375,0.01013281,68,4094,14890,2855,23292,18984,26147
131,0.03416557,0.0100235,125,5901,21417,3773,31117,27318,34890
132,0.03361549,0.009675051,62,4312,15906,2708,23138,20218,25846
133,0.03408762,0.009630825,62,4405,16024,2699,23167,20429,25866
134,0.03254973,0.009987433,61,3056,11642,2115,17506,14698,19621
135,0.03387183,0.009631538,89,5281,19333,2985,25620,24614,28605
136,0.03419583,0.009274516,78,5326,19313,3057,27248,24639,30305
137,0.03303555,0.009782555,221,11535,43297,7795,65871,54832,73666
138,0.02734405,0.02994588,61,905,4104,2017,5568,5009,7585
139,0.03269989,0.01087184,221,12446,47196,9572,72783,59642,82355
140,0.0311489,0.01247386,134,6485,25816,5649,37437,32301,43086
141,0.03216552,0.01185533,116,4526,17448,3660,25521,21974,29181
142,0.02272158,0.004079896,221,6380,34818,3535,71626,41198,75161
143,0.03288894,0.009998093,188,6847,25815,4988,41242,32662,46230
144,0.03629195,0.009246017,134,4828,16496,2567,22951,21324,25518
145,0.03415345,0.01649667,104,3019,10961,4139,20741,13980,24880
146,0.03005385,0.01113967,204,8219,33911,6089,45186,42130,51275
147,0.03166196,0.009073193,177,8179,32032,5041,45929,40211,50970
148,0.02735889,0.02745878,64,541,2452,1135,3417,2993,4552
149,0.0260992,0.01195561,68,1133,5383,795,5497,6516,6292
150,0.03209185,0.008875608,108,1330,5139,927,8634,6469,9561
151,0.02346216,0.02171323,30,470,2484,472,1797,2954,2269
152,0.02165673,0.004218992,61,463,2651,165,3233,3114,3398
153,0.02471233,0.02570767,44,451,2263,895,2878,2714,3773
154,0.03021636,0.01250162,154,8242,33823,6988,46208,42065,53196
155,0.03236315,0.01004827,96,5235,20058,3168,26063,25293,29231
156,0.03240251,0.009832451,40,2293,8775,1460,12275,11068,13735
157,0.03077397,0.0105431,96,5344,21533,4423,34680,26877,39103
158,0.03125122,0.009493669,52,3732,14808,2739,23850,18540,26589
159,0.03047389,0.008914254,68,3012,12256,2358,21867,15268,24225
160,0.03165794,0.009345787,61,4523,17716,3026,26766,22239,29792
161,0.03366504,0.009925632,104,6635,24439,4300,35813,31074,40113
162,0.03099632,0.008710194,116,4215,16862,2553,24230,21077,26783
163,0.03653535,0.01216116,134,7234,24552,5410,36775,31786,42185
164,0.03499536,0.007857662,104,4316,15293,2169,22819,19609,24988
165,0.032211,0.009436684,125,6530,25138,4019,35207,31668,39226
166,0.0338845,0.0100025,96,4320,15809,2876,23769,20129,26645
167,0.03094664,0.008744073,40,290,1162,174,1645,1452,1819
168,0.0251762,0.01305747,37,174,857,142,899,1031,1041
